file_name,text
"[กล่องบุบ] 7 Wonders duel (TH) 7 สิ่งมหัศจรรย์ ดวล","อยากได้เกมที่เล่นแล้วรู้สึกภูมิใจเวลาเห็นเมืองที่เราสร้าง?"
"[กล่องบุบ] 7 Wonders duel (TH) 7 สิ่งมหัศจรรย์ ดวล","เกมที่เล่นแล้วรู้สึกเหมือนสร้างเมืองหรืออารยธรรมคือเกมอะไร?"\
"[กล่องบุบ] Dobble (TH) ด็อบเบิล","มีเกมที่เกี่ยวกับการจับคู่ภาพไหม?"
"[กล่องบุบ] Dobble (TH) ด็อบเบิล","มีเกมฝึกความไวในการมองไหม?
"[กล่องบุบ] Dobble (TH) ด็อบเบิล","อยากได้เกมที่ช่วยฝึกสมาธิหรือความเร็วในการตัดสินใจ"
"[กล่องบุบ] Dobble (TH) ด็อบเบิล","เกมที่ต้องใช้สายตาไว ๆ มีอะไรบ้าง?"
"[กล่องบุบ] Dobble (TH) ด็อบเบิล","มีเกมที่เกี่ยวกับการจับคู่ภาพที่มีความเร็วสูงไหม?"
"[กล่องบุบ] Dobble (TH) ด็อบเบิล","มีเกมที่ต้องสังเกตภาพและหาความเหมือนเร็ว ๆ ไหม?"
"[กล่องบุบ] Dobble (TH) ด็อบเบิล","มีเกมที่เกี่ยวกับการจับคู่ภาพไหม?"
"[กล่องบุบ] Dobble (TH) ด็อบเบิล","เกมที่ต้องหาภาพเหมือนกันบนการ์ดคือเกมอะไร?"
"[กล่องบุบ] Dobble (TH) ด็อบเบิล","เกมจับภาพแบบเร็ว ๆ ไม่ซับซ้อนมีไหม?"
"[กล่องบุบ] Dobble (TH) ด็อบเบิล","อยากได้เกมที่เล่นง่าย แต่ต้องใช้ตาไว"
"Splendor 2024 Edition (TH) เกมค้าเพชร ฉบับ 2024","มีเกมที่เกี่ยวกับการค้าขายเพชรไหม?"
"Splendor 2024 Edition (TH) เกมค้าเพชร ฉบับ 2024","เกมที่เกี่ยวกับการสะสมและบริหารอัญมณีมีไหม?"
"Splendor 2024 Edition (TH) เกมค้าเพชร ฉบับ 2024","มีเกมที่เน้นความหรูหรา ร่ำรวย ใช้เพชรเป็นธีมหลักไหม?"
"Small World (TH) โลกใหญ่ใบเล็ก","มีเกมที่เกี่ยวกับการขยายอาณาจักรไหม?"
"Small World (TH) โลกใหญ่ใบเล็ก","เกมที่เกี่ยวกับการขยายอาณาจักรในโลกแฟนตาซีมีไหม?"
"Small World (TH) โลกใหญ่ใบเล็ก","อยากเล่นเกมที่ต้องยึดพื้นที่เพื่อเก็บแต้ม?"
"Small World (TH) โลกใหญ่ใบเล็ก","เกมแนวแย่งพื้นที่ที่เล่นกับเพื่อนแล้วฮามีไหม?"
"Small World (TH) โลกใหญ่ใบเล็ก","อยากได้เกมแนววางแผนเบา ๆ ที่เล่นกับครอบครัวได้"
"Unlock ! (TH) - อันล็อค","มีเกมที่เกี่ยวกับการไขปริศนาในห้องปิดตายไหม?"
"Unlock ! (TH) - อันล็อค","มีเกมที่เล่นคล้าย Escape Room ไหม?"
"Unlock ! (TH) - อันล็อค","มีเกมที่เกี่ยวกับการหยุดแผนร้ายของศาสตราจารย์ไหม?"
"Unlock ! (TH) - อันล็อค","อยากเล่นเกมแนว Escape Room ที่เล่นที่บ้านได้"
"Unlock ! (TH) - อันล็อค","เกมที่ให้ประสบการณ์เหมือนหลุดออกจากห้อง Escape Room มีไหม?"
"Zombie Kidz (TH) ขบวนการปราบซอมบี้","มีเกมที่เกี่ยวกับการปราบซอมบี้ไหม?"
"Zombie Kidz (TH) ขบวนการปราบซอมบี้","เกมที่เกี่ยวกับการต่อสู้กับซอมบี้มีไหม?"
"Zombie Kidz (TH) ขบวนการปราบซอมบี้","มีเกมที่ให้เราเล่นเป็นเด็กนักเรียนที่ต้องต่อสู้กับซอมบี้ไหม?"
"Zombie Kidz (TH) ขบวนการปราบซอมบี้","เกมที่เกี่ยวกับการต่อสู้กับซอมบี้ในโรงเรียนมีไหม?"
"Zombie Kidz (TH) ขบวนการปราบซอมบี้","มีเกมที่เนื้อหาเกี่ยวกับโรงเรียนที่ถูกซอมบี้บุกไหม?"
"Zombie Kidz (TH) ขบวนการปราบซอมบี้","มีเกมที่เล่นแล้วรู้สึกเหมือนเป็นฮีโร่ปราบผีดิบไหม?"
"Tucano (TH) ทูคาโน","มีเกมที่เกี่ยวกับการเก็บผลไม้ไหม?"
"Tucano (TH) ทูคาโน","เกมที่เกี่ยวกับการเก็บผลไม้ในป่าเขตร้อนมีไหม?"
"Tucano (TH) ทูคาโน","อยากได้เกมที่สะสมการ์ดผลไม้เพื่อเก็บคะแนน?"
"Tucano (TH) ทูคาโน","เกมที่ผลไม้บางชนิดให้แต้ม บางชนิดติดลบมีไหม?"
"Wallet (TH) เกมล่าตัวตนจารชนคนพันหน้า","มีเกมที่เกี่ยวกับการล่าตัวตนไหม?"
"Wallet (TH) เกมล่าตัวตนจารชนคนพันหน้า","เกมที่เกี่ยวกับการล่าตัวตนของจารชนมีไหม?"
"Wallet (TH) เกมล่าตัวตนจารชนคนพันหน้า","มีเกมที่เกี่ยวกับการล่าตัวตนของสายลับไหม?"
"Wallet (TH) เกมล่าตัวตนจารชนคนพันหน้า","มีเกมที่ต้องปลอมตัว ซ่อนตัวตนจริงไหม?"
"Wallet (TH) เกมล่าตัวตนจารชนคนพันหน้า","เกมที่ต้องแสร้งเป็นคนอื่นเพื่อหลอกคนอื่นมีไหม?"
"Wallet (TH) เกมล่าตัวตนจารชนคนพันหน้า","มีเกมที่ต้องแย่งของจากกระเป๋าไหม?"
"Wallet (TH) เกมล่าตัวตนจารชนคนพันหน้า","เกมที่เกี่ยวกับการแย่งของจากกระเป๋าเงินมีไหม?"
"Wallet (TH) เกมล่าตัวตนจารชนคนพันหน้า","อยากเล่นเกมที่มีการสุ่มหยิบของ แล้วต้องบลัฟกัน"
